Transaction ID,Date,Customer ID,Age,Product Category,Quantity,Price per Unit,Total Amount
51,02-10-2023,CUST051,27,Beauty,3,25,75
52,05-03-2023,CUST052,36,Beauty,1,300,300
53,13-07-2023,CUST053,34,Electronics,2,50,100
54,10-02-2023,CUST054,38,Electronics,3,500,1500
55,10-10-2023,CUST055,31,Beauty,4,30,120
56,31-05-2023,CUST056,26,Clothing,3,300,900
57,18-11-2023,CUST057,63,Beauty,1,30,30
58,13-11-2023,CUST058,18,Clothing,4,300,1200
59,05-07-2023,CUST059,62,Clothing,1,50,50
60,23-10-2023,CUST060,30,Beauty,3,50,150
61,09-04-2023,CUST061,21,Beauty,4,50,200
62,27-12-2023,CUST062,18,Beauty,2,50,100
63,05-02-2023,CUST063,57,Electronics,2,25,50
64,24-01-2023,CUST064,49,Clothing,4,25,100
65,05-12-2023,CUST065,51,Electronics,4,500,2000
66,27-04-2023,CUST066,45,Electronics,1,30,30
67,29-05-2023,CUST067,48,Beauty,4,300,1200
68,10-02-2023,CUST068,25,Electronics,1,300,300
69,30-04-2023,CUST069,56,Beauty,3,25,75
70,21-02-2023,CUST070,43,Clothing,1,300,300
71,14-07-2023,CUST071,51,Beauty,4,25,100
72,23-05-2023,CUST072,20,Electronics,4,500,2000
73,21-08-2023,CUST073,29,Electronics,3,30,90
74,22-11-2023,CUST074,18,Beauty,4,500,2000
75,06-07-2023,CUST075,61,Beauty,4,50,200
76,25-03-2023,CUST076,22,Electronics,2,50,100
77,09-07-2023,CUST077,47,Clothing,2,50,100
78,01-07-2023,CUST078,47,Clothing,3,500,1500
79,18-04-2023,CUST079,34,Beauty,1,300,300
80,10-12-2023,CUST080,64,Clothing,2,30,60
81,17-05-2023,CUST081,40,Electronics,1,50,50
82,26-12-2023,CUST082,32,Beauty,4,50,200
83,16-12-2023,CUST083,54,Electronics,2,50,100
84,28-11-2023,CUST084,38,Electronics,3,30,90
85,06-02-2023,CUST085,31,Clothing,3,50,150
86,08-11-2023,CUST086,19,Beauty,3,30,90
87,22-11-2023,CUST087,28,Beauty,2,50,100
88,29-03-2023,CUST088,56,Clothing,1,500,500
89,01-10-2023,CUST089,55,Electronics,4,500,2000
90,06-05-2023,CUST090,51,Electronics,1,30,30
91,25-03-2023,CUST091,55,Electronics,1,500,500
92,25-08-2023,CUST092,51,Electronics,4,30,120
93,14-07-2023,CUST093,35,Beauty,4,500,2000
94,19-05-2023,CUST094,47,Beauty,2,500,1000
95,24-11-2023,CUST095,32,Clothing,2,30,60
96,19-12-2023,CUST096,44,Clothing,2,300,600
97,13-10-2023,CUST097,51,Beauty,2,500,1000
98,23-04-2023,CUST098,55,Beauty,2,50,100
99,17-12-2023,CUST099,50,Electronics,4,300,1200
100,16-06-2023,CUST100,41,Electronics,1,30,30
101,29-01-2023,CUST101,32,Clothing,2,300,600
102,28-04-2023,CUST102,47,Beauty,2,25,50
103,17-01-2023,CUST103,59,Clothing,1,25,25
104,11-06-2023,CUST104,34,Beauty,2,500,1000
105,25-07-2023,CUST105,22,Electronics,1,500,500
106,18-05-2023,CUST106,46,Clothing,1,50,50
107,03-02-2023,CUST107,21,Clothing,4,300,1200
108,19-04-2023,CUST108,27,Beauty,3,25,75
109,18-10-2023,CUST109,34,Electronics,4,500,2000
110,11-06-2023,CUST110,27,Clothing,3,300,900
111,19-04-2023,CUST111,34,Electronics,3,500,1500
112,02-12-2023,CUST112,37,Clothing,3,500,1500
113,13-09-2023,CUST113,41,Electronics,2,25,50
114,22-07-2023,CUST114,22,Beauty,4,25,100
115,26-11-2023,CUST115,51,Clothing,3,500,1500
116,23-08-2023,CUST116,23,Clothing,1,30,30
117,15-03-2023,CUST117,19,Electronics,2,500,1000
118,16-05-2023,CUST118,30,Electronics,4,500,2000
119,13-03-2023,CUST119,60,Clothing,3,50,150
120,07-05-2023,CUST120,60,Beauty,1,50,50
121,15-10-2023,CUST121,28,Electronics,4,50,200
122,03-10-2023,CUST122,64,Electronics,4,30,120
123,15-05-2023,CUST123,40,Electronics,2,30,60
124,27-10-2023,CUST124,33,Clothing,4,500,2000
125,08-08-2023,CUST125,48,Clothing,2,50,100
126,26-10-2023,CUST126,28,Clothing,3,30,90
127,24-07-2023,CUST127,33,Clothing,2,25,50
128,05-07-2023,CUST128,25,Beauty,1,500,500
129,23-04-2023,CUST129,21,Beauty,2,300,600
130,12-03-2023,CUST130,57,Clothing,1,500,500
131,18-09-2023,CUST131,21,Beauty,2,300,600
132,10-09-2023,CUST132,42,Electronics,4,50,200
133,16-02-2023,CUST133,20,Electronics,3,300,900
134,25-01-2023,CUST134,49,Electronics,1,50,50
135,26-02-2023,CUST135,20,Clothing,2,25,50
136,20-03-2023,CUST136,44,Electronics,2,300,600
137,18-11-2023,CUST137,46,Beauty,2,500,1000
138,23-03-2023,CUST138,49,Clothing,4,50,200
139,15-12-2023,CUST139,36,Beauty,4,500,2000
140,05-08-2023,CUST140,38,Electronics,1,30,30
141,02-11-2023,CUST141,22,Electronics,1,50,50
142,02-02-2023,CUST142,35,Electronics,4,300,1200
143,17-07-2023,CUST143,45,Clothing,1,50,50
144,15-07-2023,CUST144,59,Beauty,3,500,1500
145,02-11-2023,CUST145,39,Clothing,3,25,75
146,28-08-2023,CUST146,38,Clothing,4,50,200
147,28-09-2023,CUST147,23,Electronics,1,300,300
148,09-05-2023,CUST148,18,Clothing,2,30,60
149,11-10-2023,CUST149,22,Clothing,3,25,75
150,06-01-2023,CUST150,58,Electronics,4,30,120
151,15-12-2023,CUST151,29,Clothing,1,50,50
152,28-02-2023,CUST152,43,Electronics,4,500,2000
153,16-12-2023,CUST153,63,Electronics,2,500,1000
154,02-10-2023,CUST154,51,Electronics,3,300,900
155,17-05-2023,CUST155,31,Electronics,4,500,2000
156,25-11-2023,CUST156,43,Clothing,4,25,100
157,24-06-2023,CUST157,62,Electronics,4,500,2000
158,27-02-2023,CUST158,44,Electronics,2,300,600
159,31-05-2023,CUST159,26,Clothing,4,50,200
160,11-08-2023,CUST160,43,Clothing,2,50,100
161,22-03-2023,CUST161,64,Beauty,2,500,1000
162,21-08-2023,CUST162,39,Clothing,2,30,60
163,02-01-2023,CUST163,64,Clothing,3,50,150
164,15-05-2023,CUST164,47,Beauty,3,500,1500
165,14-09-2023,CUST165,60,Clothing,4,300,1200
166,02-04-2023,CUST166,34,Clothing,4,500,2000
167,17-09-2023,CUST167,43,Clothing,3,50,150
168,24-02-2023,CUST168,53,Clothing,1,300,300
169,17-11-2023,CUST169,18,Beauty,3,500,1500
170,02-06-2023,CUST170,25,Clothing,2,25,50
171,24-11-2023,CUST171,52,Clothing,3,300,900
172,17-09-2023,CUST172,32,Beauty,2,25,50
173,08-11-2023,CUST173,64,Electronics,4,30,120
174,12-04-2023,CUST174,39,Beauty,1,300,300
175,20-03-2023,CUST175,31,Electronics,4,25,100
176,11-07-2023,CUST176,43,Beauty,2,50,100
177,24-03-2023,CUST177,45,Beauty,2,50,100
178,04-10-2023,CUST178,40,Clothing,2,30,60
179,29-09-2023,CUST179,31,Electronics,1,300,300
180,01-01-2023,CUST180,41,Clothing,3,300,900
181,03-11-2023,CUST181,19,Electronics,4,300,1200
182,15-06-2023,CUST182,62,Beauty,4,30,120
183,08-09-2023,CUST183,43,Beauty,3,300,900
184,10-01-2023,CUST184,31,Electronics,4,50,200
185,27-02-2023,CUST185,24,Clothing,1,25,25
186,05-07-2023,CUST186,20,Clothing,4,50,200
187,07-06-2023,CUST187,64,Clothing,2,50,100
188,03-05-2023,CUST188,40,Clothing,3,25,75
189,30-01-2023,CUST189,63,Beauty,1,50,50
190,04-05-2023,CUST190,60,Beauty,3,30,90
191,18-10-2023,CUST191,64,Beauty,1,25,25
192,10-02-2023,CUST192,62,Beauty,2,50,100
193,13-02-2023,CUST193,35,Beauty,3,500,1500
194,06-09-2023,CUST194,55,Clothing,4,50,200
195,05-02-2023,CUST195,52,Clothing,1,30,30
196,30-09-2023,CUST196,32,Clothing,3,300,900
197,06-03-2023,CUST197,42,Clothing,4,50,200
198,07-03-2023,CUST198,54,Beauty,3,300,900
199,04-12-2023,CUST199,45,Beauty,3,500,1500
200,01-09-2023,CUST200,27,Beauty,3,50,150
201,09-10-2023,CUST201,56,Electronics,1,25,25
41,22-02-2023,CUST041,34,Clothing,2,25,50
42,17-02-2023,CUST042,22,Clothing,3,300,900
43,14-07-2023,CUST043,48,Clothing,1,300,300
44,19-02-2023,CUST044,22,Clothing,1,25,25
45,03-07-2023,CUST045,55,Electronics,1,30,30
46,26-06-2023,CUST046,20,Electronics,4,300,1200
47,06-11-2023,CUST047,40,Beauty,3,500,1500
48,16-05-2023,CUST048,54,Electronics,3,300,900
49,23-01-2023,CUST049,54,Electronics,2,500,1000
210,13-04-2023,CUST210,37,Electronics,4,50,200
211,01-01-2024,CUST211,42,Beauty,3,500,1500
212,09-06-2023,CUST212,21,Clothing,3,500,1500
213,24-07-2023,CUST213,27,Beauty,3,500,1500
214,10-12-2023,CUST214,20,Beauty,2,30,60
215,29-11-2023,CUST215,58,Clothing,3,500,1500
216,11-07-2023,CUST216,62,Electronics,2,50,100
217,13-08-2023,CUST217,35,Electronics,4,50,200
218,22-09-2023,CUST218,64,Beauty,3,30,90
219,20-08-2023,CUST219,53,Electronics,3,30,90
220,03-03-2023,CUST220,64,Beauty,1,500,500
221,07-05-2023,CUST221,39,Beauty,2,300,600
222,26-04-2023,CUST222,51,Clothing,4,30,120
223,02-02-2023,CUST223,64,Clothing,1,25,25
224,23-06-2023,CUST224,25,Clothing,1,50,50
225,11-01-2023,CUST225,57,Beauty,4,25,100
226,29-10-2023,CUST226,61,Clothing,1,50,50
227,11-10-2023,CUST227,36,Electronics,2,50,100
228,28-04-2023,CUST228,59,Electronics,2,30,60
229,29-10-2023,CUST229,58,Beauty,3,30,90
230,23-04-2023,CUST230,54,Beauty,1,25,25
231,04-01-2023,CUST231,23,Clothing,3,50,150
232,06-02-2023,CUST232,43,Beauty,1,25,25
233,29-12-2023,CUST233,51,Beauty,2,300,600
234,20-11-2023,CUST234,62,Electronics,2,25,50
235,31-01-2023,CUST235,23,Electronics,2,500,1000
236,28-04-2023,CUST236,54,Clothing,1,25,25
237,04-02-2023,CUST237,50,Beauty,2,500,1000
238,17-01-2023,CUST238,39,Beauty,1,500,500
239,19-06-2023,CUST239,38,Electronics,3,500,1500
240,06-02-2023,CUST240,23,Beauty,1,300,300
241,21-09-2023,CUST241,23,Electronics,3,25,75
242,02-05-2023,CUST242,21,Clothing,1,25,25
243,23-05-2023,CUST243,47,Electronics,3,300,900
244,09-12-2023,CUST244,28,Beauty,2,50,100
245,06-09-2023,CUST245,47,Clothing,3,30,90
246,20-04-2023,CUST246,48,Electronics,2,25,50
247,04-10-2023,CUST247,41,Electronics,2,30,60
248,09-03-2023,CUST248,26,Clothing,3,300,900
249,20-10-2023,CUST249,20,Clothing,1,50,50
250,23-10-2023,CUST250,48,Electronics,1,50,50
251,31-08-2023,CUST251,57,Beauty,4,50,200
252,05-05-2023,CUST252,54,Electronics,1,300,300
253,31-08-2023,CUST253,53,Clothing,4,500,2000
254,28-07-2023,CUST254,41,Electronics,1,500,500
255,08-04-2023,CUST255,48,Clothing,1,30,30
256,18-02-2023,CUST256,23,Clothing,2,500,1000
257,19-02-2023,CUST257,19,Beauty,4,500,2000
258,04-12-2023,CUST258,37,Clothing,1,50,50
259,09-08-2023,CUST259,45,Clothing,4,50,200
260,01-07-2023,CUST260,28,Beauty,2,30,60
261,05-08-2023,CUST261,21,Clothing,2,25,50
262,30-07-2023,CUST262,32,Beauty,4,30,120
263,28-08-2023,CUST263,23,Beauty,2,30,60
264,28-01-2023,CUST264,47,Clothing,3,300,900
265,11-12-2023,CUST265,55,Clothing,3,300,900
266,01-12-2023,CUST266,19,Electronics,2,30,60
267,27-11-2023,CUST267,32,Beauty,3,30,90
268,20-02-2023,CUST268,28,Electronics,1,30,30
269,01-02-2023,CUST269,25,Clothing,4,500,2000
270,26-07-2023,CUST270,43,Electronics,1,300,300
271,23-06-2023,CUST271,62,Beauty,4,30,120
272,25-02-2023,CUST272,61,Electronics,2,50,100
273,08-05-2023,CUST273,22,Beauty,1,50,50
274,09-04-2023,CUST274,23,Clothing,2,500,1000
275,08-04-2023,CUST275,43,Clothing,2,500,1000
276,02-10-2023,CUST276,21,Beauty,4,25,100
277,18-08-2023,CUST277,36,Clothing,4,25,100
278,13-03-2023,CUST278,37,Clothing,4,25,100
279,05-08-2023,CUST279,50,Clothing,1,500,500
280,04-04-2023,CUST280,37,Clothing,3,500,1500
281,23-05-2023,CUST281,29,Beauty,4,500,2000
282,25-08-2023,CUST282,64,Electronics,4,50,200
283,08-05-2023,CUST283,18,Electronics,1,500,500
284,08-02-2023,CUST284,43,Clothing,4,50,200
285,15-08-2023,CUST285,31,Electronics,1,25,25
286,09-10-2023,CUST286,55,Electronics,2,25,50
287,20-02-2023,CUST287,54,Clothing,4,25,100
288,26-01-2023,CUST288,28,Clothing,4,30,120
289,30-11-2023,CUST289,53,Electronics,2,30,60
290,04-10-2023,CUST290,30,Beauty,2,300,600
291,08-01-2023,CUST291,60,Clothing,2,300,600
292,17-02-2023,CUST292,20,Beauty,4,300,1200
293,02-05-2023,CUST293,50,Electronics,3,30,90
294,27-03-2023,CUST294,23,Clothing,3,30,90
295,28-07-2023,CUST295,27,Beauty,3,300,900
296,06-09-2023,CUST296,22,Clothing,4,300,1200
297,04-09-2023,CUST297,40,Electronics,2,500,1000
298,20-04-2023,CUST298,27,Beauty,4,300,1200
299,25-07-2023,CUST299,61,Electronics,2,500,1000
300,31-01-2023,CUST300,19,Electronics,4,50,200
301,26-03-2023,CUST301,30,Clothing,4,30,120
302,14-07-2023,CUST302,57,Beauty,2,300,600
303,02-01-2023,CUST303,19,Electronics,3,30,90
304,19-07-2023,CUST304,37,Electronics,2,30,60
305,16-05-2023,CUST305,18,Beauty,1,30,30
306,21-08-2023,CUST306,54,Electronics,1,50,50
307,27-05-2023,CUST307,26,Electronics,2,25,50
308,05-08-2023,CUST308,34,Beauty,4,300,1200
309,23-12-2023,CUST309,26,Beauty,1,25,25
310,12-10-2023,CUST310,28,Beauty,1,25,25
311,05-12-2023,CUST311,32,Beauty,4,25,100
312,07-09-2023,CUST312,41,Clothing,4,30,120
313,21-03-2023,CUST313,55,Beauty,3,500,1500
314,08-04-2023,CUST314,52,Clothing,4,30,120
315,01-06-2023,CUST315,47,Clothing,2,30,60
316,22-04-2023,CUST316,48,Clothing,2,25,50
317,30-01-2023,CUST317,22,Electronics,3,30,90
318,24-10-2023,CUST318,61,Clothing,1,25,25
319,05-10-2023,CUST319,31,Clothing,1,500,500
320,01-02-2023,CUST320,28,Electronics,4,300,1200
321,10-06-2023,CUST321,26,Electronics,2,25,50
322,30-01-2023,CUST322,51,Electronics,1,500,500
323,26-01-2023,CUST323,29,Beauty,3,300,900
324,27-10-2023,CUST324,52,Electronics,3,50,150
325,02-09-2023,CUST325,52,Electronics,2,25,50
326,15-09-2023,CUST326,18,Clothing,3,25,75
327,29-09-2023,CUST327,57,Electronics,3,50,150
328,22-03-2023,CUST328,39,Beauty,2,50,100
329,30-01-2023,CUST329,46,Electronics,4,25,100
330,18-09-2023,CUST330,25,Beauty,4,50,200
331,11-02-2023,CUST331,28,Electronics,3,30,90
332,06-04-2023,CUST332,58,Electronics,4,300,1200
333,05-02-2023,CUST333,54,Electronics,4,300,1200
334,01-11-2023,CUST334,31,Electronics,3,300,900
335,04-02-2023,CUST335,47,Beauty,4,30,120
336,12-12-2023,CUST336,52,Beauty,3,50,150
337,01-05-2023,CUST337,38,Clothing,1,500,500
338,26-07-2023,CUST338,54,Beauty,2,50,100
339,03-03-2023,CUST339,22,Electronics,2,25,50
340,19-10-2023,CUST340,36,Clothing,4,300,1200
341,07-05-2023,CUST341,31,Clothing,4,50,200
342,24-10-2023,CUST342,43,Clothing,4,500,2000
343,01-11-2023,CUST343,21,Electronics,2,25,50
344,21-01-2023,CUST344,42,Beauty,1,30,30
345,14-11-2023,CUST345,62,Electronics,1,30,30
346,11-02-2023,CUST346,59,Clothing,2,500,1000
347,03-08-2023,CUST347,42,Electronics,1,25,25
348,03-12-2023,CUST348,35,Electronics,2,300,600
349,26-10-2023,CUST349,57,Beauty,1,50,50
350,17-10-2023,CUST350,25,Beauty,3,25,75
351,25-09-2023,CUST351,56,Clothing,3,30,90
352,11-06-2023,CUST352,57,Electronics,2,500,1000
353,14-05-2023,CUST353,31,Electronics,1,500,500
354,15-04-2023,CUST354,49,Beauty,4,50,200
355,09-12-2023,CUST355,55,Electronics,1,500,500
356,10-06-2023,CUST356,50,Electronics,3,500,1500
357,03-05-2023,CUST357,40,Electronics,3,25,75
358,16-05-2023,CUST358,32,Beauty,1,300,300
359,22-07-2023,CUST359,50,Clothing,1,50,50
360,09-03-2023,CUST360,42,Clothing,4,25,100
361,10-12-2023,CUST361,34,Electronics,4,300,1200
362,27-11-2023,CUST362,50,Clothing,1,25,25
363,03-06-2023,CUST363,64,Beauty,1,25,25
364,23-08-2023,CUST364,19,Beauty,1,500,500
365,11-06-2023,CUST365,31,Clothing,1,300,300
366,07-02-2023,CUST366,57,Clothing,2,50,100
367,05-01-2023,CUST367,57,Electronics,1,50,50
368,23-08-2023,CUST368,56,Clothing,4,300,1200
369,15-11-2023,CUST369,23,Electronics,3,500,1500
370,16-10-2023,CUST370,23,Electronics,2,30,60
371,21-02-2023,CUST371,20,Beauty,1,25,25
372,07-02-2023,CUST372,24,Beauty,3,500,1500
373,03-10-2023,CUST373,25,Beauty,2,300,600
374,20-04-2023,CUST374,59,Beauty,3,25,75
375,17-09-2023,CUST375,32,Clothing,1,50,50
376,16-05-2023,CUST376,64,Beauty,1,30,30
377,09-03-2023,CUST377,46,Clothing,4,50,200
378,28-06-2023,CUST378,50,Beauty,1,300,300
379,05-02-2023,CUST379,47,Clothing,1,25,25
380,06-05-2023,CUST380,56,Electronics,2,300,600
381,09-07-2023,CUST381,44,Clothing,4,25,100
382,26-05-2023,CUST382,53,Clothing,2,500,1000
383,22-03-2023,CUST383,46,Beauty,3,30,90
384,13-08-2023,CUST384,55,Clothing,1,500,500
385,06-10-2023,CUST385,50,Electronics,3,500,1500
386,27-12-2023,CUST386,54,Electronics,2,300,600
387,04-06-2023,CUST387,44,Beauty,1,30,30
388,10-11-2023,CUST388,50,Electronics,1,25,25
389,01-12-2023,CUST389,21,Clothing,2,25,50
390,28-09-2023,CUST390,39,Electronics,2,50,100
391,05-01-2023,CUST391,19,Beauty,2,25,50
392,08-12-2023,CUST392,27,Clothing,2,300,600
393,11-10-2023,CUST393,22,Beauty,2,500,1000
394,03-06-2023,CUST394,27,Clothing,1,500,500
395,06-12-2023,CUST395,50,Electronics,2,500,1000
396,23-02-2023,CUST396,55,Beauty,1,30,30
397,10-03-2023,CUST397,30,Beauty,1,25,25
398,16-05-2023,CUST398,48,Clothing,2,300,600
399,01-03-2023,CUST399,64,Beauty,2,30,60
400,24-02-2023,CUST400,53,Clothing,4,50,200
401,11-10-2023,CUST401,62,Clothing,1,300,300
402,21-03-2023,CUST402,41,Clothing,2,300,600
403,20-05-2023,CUST403,32,Clothing,2,300,600
404,25-05-2023,CUST404,46,Electronics,2,500,1000
405,06-11-2023,CUST405,25,Clothing,4,300,1200
406,18-04-2023,CUST406,22,Beauty,4,25,100
407,25-06-2023,CUST407,46,Electronics,3,300,900
408,15-04-2023,CUST408,64,Beauty,1,500,500
409,18-12-2023,CUST409,21,Electronics,3,300,900
410,21-11-2023,CUST410,29,Clothing,2,50,100
411,16-05-2023,CUST411,62,Electronics,4,50,200
412,16-09-2023,CUST412,19,Electronics,4,500,2000
413,08-09-2023,CUST413,44,Beauty,3,25,75
414,09-05-2023,CUST414,48,Beauty,4,25,100
415,27-01-2023,CUST415,53,Clothing,2,30,60
416,17-02-2023,CUST416,53,Electronics,4,500,2000
417,21-11-2023,CUST417,43,Electronics,3,300,900
418,05-08-2023,CUST418,60,Electronics,2,500,1000
419,22-05-2023,CUST419,44,Clothing,3,30,90
420,23-01-2023,CUST420,22,Clothing,4,500,2000
421,02-01-2023,CUST421,37,Clothing,3,500,1500
422,20-06-2023,CUST422,28,Clothing,3,30,90
423,08-03-2023,CUST423,27,Clothing,1,25,25
424,23-11-2023,CUST424,57,Beauty,4,300,1200
425,15-05-2023,CUST425,55,Electronics,4,30,120
426,24-03-2023,CUST426,23,Electronics,3,50,150
427,15-08-2023,CUST427,25,Electronics,1,25,25
428,10-10-2023,CUST428,40,Electronics,4,50,200
429,28-12-2023,CUST429,64,Electronics,2,25,50
430,07-08-2023,CUST430,43,Electronics,3,300,900
431,15-10-2023,CUST431,63,Electronics,4,300,1200
432,05-01-2023,CUST432,60,Electronics,2,500,1000
433,27-02-2023,CUST433,29,Beauty,4,50,200
434,08-02-2023,CUST434,43,Electronics,2,25,50
435,20-12-2023,CUST435,30,Beauty,3,300,900
436,18-03-2023,CUST436,57,Clothing,4,30,120
437,07-10-2023,CUST437,35,Electronics,4,300,1200
438,19-01-2023,CUST438,42,Clothing,1,30,30
439,09-07-2023,CUST439,50,Clothing,3,25,75
440,26-10-2023,CUST440,64,Clothing,2,300,600
441,10-10-2023,CUST441,57,Beauty,4,300,1200
442,17-03-2023,CUST442,60,Clothing,4,25,100
443,09-08-2023,CUST443,29,Clothing,2,300,600
444,07-03-2023,CUST444,61,Clothing,3,30,90
445,22-01-2023,CUST445,53,Electronics,1,300,300
446,07-06-2023,CUST446,21,Electronics,1,50,50
447,06-07-2023,CUST447,22,Beauty,4,500,2000
448,21-01-2023,CUST448,54,Beauty,2,30,60
449,03-07-2023,CUST449,25,Electronics,4,50,200
450,18-04-2023,CUST450,59,Beauty,2,25,50
451,16-12-2023,CUST451,45,Electronics,1,30,30
452,08-05-2023,CUST452,48,Clothing,3,500,1500
453,08-12-2023,CUST453,26,Clothing,2,500,1000
454,22-02-2023,CUST454,46,Beauty,1,25,25
455,01-07-2023,CUST455,31,Electronics,4,25,100
456,14-10-2023,CUST456,57,Electronics,2,30,60
457,28-07-2023,CUST457,58,Beauty,3,300,900
458,14-11-2023,CUST458,39,Electronics,4,25,100
459,21-03-2023,CUST459,28,Clothing,4,300,1200
460,02-05-2023,CUST460,40,Beauty,1,50,50
461,25-03-2023,CUST461,18,Beauty,2,500,1000
462,01-04-2023,CUST462,63,Electronics,4,300,1200
463,31-07-2023,CUST463,54,Beauty,3,500,1500
464,13-01-2023,CUST464,38,Electronics,2,300,600
465,02-04-2023,CUST465,43,Electronics,3,50,150
466,20-06-2023,CUST466,63,Electronics,4,25,100
467,30-07-2023,CUST467,53,Electronics,3,50,150
468,09-12-2023,CUST468,40,Electronics,1,25,25
469,08-05-2023,CUST469,18,Beauty,3,25,75
470,17-05-2023,CUST470,57,Clothing,2,500,1000
471,23-03-2023,CUST471,32,Clothing,3,50,150
472,26-12-2023,CUST472,38,Beauty,3,300,900
473,25-02-2023,CUST473,64,Beauty,1,50,50
474,15-07-2023,CUST474,26,Clothing,3,500,1500
475,20-01-2023,CUST475,26,Clothing,3,25,75
476,29-08-2023,CUST476,27,Clothing,4,500,2000
477,24-04-2023,CUST477,43,Clothing,4,30,120
478,13-04-2023,CUST478,58,Clothing,2,30,60
479,24-08-2023,CUST479,52,Electronics,4,300,1200
480,29-06-2023,CUST480,42,Beauty,4,500,2000
481,06-06-2023,CUST481,43,Electronics,4,300,1200
482,27-04-2023,CUST482,28,Clothing,4,300,1200
483,25-04-2023,CUST483,55,Clothing,1,30,30
484,13-01-2023,CUST484,19,Clothing,4,300,1200
485,04-12-2023,CUST485,24,Electronics,1,30,30
486,09-04-2023,CUST486,35,Electronics,1,25,25
487,24-07-2023,CUST487,44,Clothing,4,500,2000
488,18-06-2023,CUST488,51,Electronics,3,300,900
489,23-05-2023,CUST489,44,Electronics,1,30,30
490,05-02-2023,CUST490,34,Clothing,3,50,150
491,23-05-2023,CUST491,60,Electronics,3,300,900
492,29-06-2023,CUST492,61,Beauty,4,25,100
493,25-11-2023,CUST493,41,Beauty,2,25,50
494,18-09-2023,CUST494,42,Beauty,4,50,200
495,24-07-2023,CUST495,24,Beauty,2,30,60
496,14-12-2023,CUST496,23,Clothing,2,300,600
497,02-10-2023,CUST497,41,Clothing,4,30,120
498,19-06-2023,CUST498,50,Clothing,4,25,100
499,15-01-2023,CUST499,46,Beauty,2,30,60
500,01-03-2023,CUST500,60,Beauty,4,25,100
501,14-05-2023,CUST501,39,Electronics,2,30,60
502,02-04-2023,CUST502,43,Electronics,3,50,150
503,25-10-2023,CUST503,45,Beauty,4,500,2000
504,16-05-2023,CUST504,38,Beauty,3,50,150
505,20-01-2023,CUST505,24,Beauty,1,50,50
506,25-02-2023,CUST506,34,Beauty,3,500,1500
507,02-11-2023,CUST507,37,Electronics,3,500,1500
508,11-08-2023,CUST508,58,Beauty,2,300,600
509,26-06-2023,CUST509,37,Electronics,3,300,900
510,10-06-2023,CUST510,39,Beauty,4,50,200
